0.0600  0.01687289089
0.0600  0.0151856018
0.0751  0.01878515186
0.1009  0.02137232846
0.1268  0.02272215973
0.1837  0.02913385827
0.2661  0.03880764904
0.3718  0.05174353206
0.3892  0.04983127109
0.4542  0.05838020247
0.4887  0.06917885264
0.5161  0.06749156355
0.5958  0.08008998875
0.5964  0.08830146232
0.6519  0.09842519685
0.6620  0.09505061867
0.6877  0.1057367829
0.6954  0.09673790776
0.8088  0.1096737908
0.8166  0.1181102362
0.9588  0.1507311586
1.0526  0.1664791901
1.1193  0.1867266592
1.2177  0.1439820022
1.2921  0.2305961755
1.4683  0.2789651294
1.5051  0.2643419573
1.5051  0.2812148481
1.5200  0.2800899888
1.6366  0.3318335208
1.7226  0.3262092238
1.7226  0.3509561305
1.7527  0.3374578178
1.7847  0.3745781777
1.9006  0.4161979753
1.9746  0.4398200225
1.9813  0.3937007874
1.9813  0.4330708661
2.0007  0.4128233971
2.2515  0.4949381327
2.2788  0.4949381327
2.4278  0.4915635546
2.4896  0.570303712
2.6083  0.5928008999
2.6981  0.6467941507
2.7540  0.601799775
2.8609  0.6912260967
2.9575  0.7255343082
2.9645  0.7424071991
3.1539  0.7559055118
3.3088  0.8368953881
3.6298  0.9583802025
3.6411  0.942632171
3.9312  1.07424072
4.1571  1.181102362
4.1776  1.16647919
4.3007  1.237345332
4.7847  1.420697413
5.4285  1.732283465
6.0768  2.030371204
6.6902  2.328458943
7.2260  2.637795276
7.6435  2.862767154
7.9089  3.003374578
